lugar|titulo|url_estancia|valoracion_clientes|n_valoraciones|tipo|estrellas|fecha_entrada|fecha_salida|n_adultos|n_habitaciones|n_menores
Córdoba|GRUPO LIMCOTEl PERLA 1|https://www.booking.com/hotel/es/perla-4-cplace-ecologico.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,5|219|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Córdoba|La Piquera Hostal|https://www.booking.com/hotel/es/la-piquera-hostal.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,8|1179|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Córdoba|Patio de los naranjos GCL|https://www.booking.com/hotel/es/garden-city-loft-no3-2-4-2.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,6|549|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Córdoba|Casa Secunda Romar|https://www.booking.com/hotel/es/secunda-romana-cordoba.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,0|170|NA|NA|2026-09-16|2026-09-19|2|1|0
Córdoba|BHost - La Sacristía|https://www.booking.com/hotel/es/bhost-la-sacristia.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,6|115|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Córdoba|Corduba Home|https://www.booking.com/hotel/es/corduba-home.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,8|100|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Córdoba|DWO Finca Los Abetos|https://www.booking.com/hotel/es/hotel-inca-los-abetos.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|3984|Hotel|4|2026-09-16|2026-09-19|2|1|0
Córdoba|La Casa del Río|https://www.booking.com/hotel/es/la-casa-del-rio-cordoba1.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,3|1345|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Córdoba|Hostal San Luis|https://www.booking.com/hotel/es/hostal-san-luis.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,3|446|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Córdoba|Acogedor LOFT en Bajo CENTRICO|https://www.booking.com/hotel/es/acogedor-loft-en-bajo-centrico-con-parking-wifi.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,6|134|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Córdoba|BHost - Regina ll|https://www.booking.com/hotel/es/bhost-regina-ll.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,9|183|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Córdoba|Don Paula|https://www.booking.com/hotel/es/don-paula.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,1|807|Hotel|2|2026-09-16|2026-09-19|2|1|0
Córdoba|Hotel Suite Generis|https://www.booking.com/hotel/es/suite-generis.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,9|1180|Hotel|2|2026-09-16|2026-09-19|2|1|0
Córdoba|BHost - Regina III|https://www.booking.com/hotel/es/bhost-duplex-twins.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|158|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Córdoba|BHost - Yayo Pepe|https://www.booking.com/hotel/es/el-yayo-pepe.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,7|135|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Córdoba|BHost - Regina V|https://www.booking.com/hotel/es/bhost-regina-v.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,3|130|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Córdoba|Casual Suite in Córdoba|https://www.booking.com/hotel/es/casual-suite-in-cordoba.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,4|654|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Córdoba|BHost - Lumière Suites|https://www.booking.com/hotel/es/bhost-lumiere-suite-1.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,9|240|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Córdoba|BHost - Plaza de la Paja|https://www.booking.com/hotel/es/bhost-plaza-de-la-paja.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,8|96|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Córdoba|Ribera Home|https://www.booking.com/hotel/es/garden-city-loft-no7.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,9|274|NA|NA|2026-09-16|2026-09-19|2|1|0
Córdoba|Almogávares 36 Apartamentos|https://www.booking.com/hotel/es/apartamentos-almogavares-36.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,0|43|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Córdoba|BHost - Regina VIII|https://www.booking.com/hotel/es/apartamento-regina-cordoba.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,6|121|NA|NA|2026-09-16|2026-09-19|2|1|0
Córdoba|Hotel Nomada|https://www.booking.com/hotel/es/nomada.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,3|658|Hotel|2|2026-09-16|2026-09-19|2|1|0
Córdoba|BHost - Yaya María|https://www.booking.com/hotel/es/precioso-loft-con-piscina-cordoba1.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,5|109|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Córdoba|Garden City lofts|https://www.booking.com/hotel/es/city-garden-lofts.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,3|546|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Córdoba|Hostal Almanzor|https://www.booking.com/hotel/es/hostal-almanzor.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|1863|Hotel|1|2026-09-16|2026-09-19|2|1|0
Córdoba|Casa Los Valenzuela|https://www.booking.com/hotel/es/casa-los-valenzuela.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,5|444|NA|NA|2026-09-16|2026-09-19|2|1|0
Córdoba|Casa Patio las Palmeras Córdoba con piscina|https://www.booking.com/hotel/es/casa-patio-las-palmeras-cordoba-con-piscina.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,3|190|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
