lugar|titulo|url_estancia|valoracion_clientes|n_valoraciones|tipo|estrellas|fecha_entrada|fecha_salida|n_adultos|n_habitaciones|n_menores
Almería|Hostal Rural Alba|https://www.booking.com/hotel/es/hostal-rural-alba.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,7|445|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Almería|Sercotel Gran Fama|https://www.booking.com/hotel/es/husagranfamaalmeria.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,5|1565|Hotel|4|2026-09-16|2026-09-19|2|1|0
Almería|Casa Rural La Fuensanta|https://www.booking.com/hotel/es/cortijo-la-fuensanta-mojacar.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|398|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Almería|El Palacete de Cuevas|https://www.booking.com/hotel/es/el-palacete-de-cuevas.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,1|480|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Almería|Cortijo Jayon|https://www.booking.com/hotel/es/cortijo-jayon.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,6|14|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Almería|Torreluz Apartamentos|https://www.booking.com/hotel/es/apartamentos-torreluz.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|656|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Almería|Mountain Nest|https://www.booking.com/hotel/es/mountain-nest.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|10|1|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Almería|AT Restaurante El Palacil|https://www.booking.com/hotel/es/at-restaurante-el-palacil.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,7|121|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Almería|Crisol Almería|https://www.booking.com/hotel/es/torreluz-senior.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,5|3911|Hotel|3|2026-09-16|2026-09-19|2|1|0
Almería|Casa Castillo|https://www.booking.com/hotel/es/casa-barranca-bed-and-breakfast.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,9|191|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
