lugar|titulo|url_estancia|valoracion_clientes|n_valoraciones|tipo|estrellas|fecha_entrada|fecha_salida|n_adultos|n_habitaciones|n_menores
Rota|Apartamento Helena|https://www.booking.com/hotel/es/apartamento-helena.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,4|29|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Rota Punta Candor Terrace Playa 3 Bajo C|https://www.booking.com/hotel/es/punta-candor-terrace-playa-3-bajo-c-cadiz.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,6|16|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Estudio Alicia|https://www.booking.com/hotel/es/estudio-alicia-rota.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,2|28|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Rota|Hochwertiges Haus in wunderschöner Golf Anlage am Meer|https://www.booking.com/hotel/es/hochwertiges-haus-in-wunderschoner-golf-anlage.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,1|29|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Hostal Playa Candor|https://www.booking.com/hotel/es/hostal-playa-candor.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,2|682|Hotel|1|2026-09-16|2026-09-19|2|1|0
Rota|Rota Beach Loft|https://www.booking.com/hotel/es/loft-by-the-sea-amp-parking.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,1|30|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|MyChoice La Forestal|https://www.booking.com/hotel/es/mychoice-la-forestal.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|6,0|3|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Rota|Apartamento Centro de Rota La Costilla|https://www.booking.com/hotel/es/apartamento-centro-de-rota-la-costilla.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|10|3|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Apartamento Atlántico|https://www.booking.com/hotel/es/apartamento-atlantico-rota1.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,3|13|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Apartamento Sol y Playa|https://www.booking.com/hotel/es/apartamento-sol-y-playa-rota.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,9|20|NA|NA|2026-09-16|2026-09-19|2|1|0
Rota|Mina25 by 7Escalones|https://www.booking.com/hotel/es/mina25-by-7escalones.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,4|6|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|MyChoice Dadim|https://www.booking.com/hotel/es/mychoice-dadim-by-bossh-apartments.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|6,8|17|NA|NA|2026-09-16|2026-09-19|2|1|0
