localidad,lat_centro,lon_centro
Pueblo Nuevo de Guadiaro,36.2934897,-5.3019875
Puente Genil,37.387395,-4.7716241
Puente Honda,38.3574104,-2.6184479
Puente de Génave,38.3545624,-2.8031995
Puerto Moral,37.8917393,-6.4795963
Puerto Real,36.5286856,-6.1902161
Puerto Serrano,37.1529182,-5.7449397
Puerto de la Laja,37.524089,-7.492819
Puerto-Gil,37.8922802,-6.4986411
Pulianas,37.2226481,-3.6080146
Pulpite,37.576041,-2.5285291
Pulpí,37.4078925,-1.7477007
Punta Umbría,37.1830237,-6.9662203
Punta del Caimán,37.1952827,-7.324557
Punta del moral,37.1877587,-7.3444664
Purchena,37.3477463,-2.3608085
Purchil,37.1717578,-3.6674242
Purullena,37.3147739,-3.1892077
Pórtugos,36.973613,-3.3060394
Quesada,37.8429817,-3.0669209
Quéntar,37.1920952,-3.4667577
Restábal,36.9292872,-3.5825469
Retamar,36.8486262,-2.3061564
Ribera Alta,37.4647006,-3.83834
Ribera Baja,37.4494284,-3.8402516
Rincón de la Victoria,36.7162109,-4.2793767
Rivero de Posadas,37.7923722,-5.1442929
Roche,36.3208845,-6.1443014
Rociana,37.9046537,-6.8820445
Rodalquilar,36.8468019,-2.0406035
Ronda,36.7421339,-5.1665916
Roquetas de Mar,36.7630203,-2.6115886
Rosal de la Frontera,37.9679076,-7.2204724
Rota,36.6228636,-6.3599595
Rota Cádiz,36.6293469,-6.3775814
Rubite,36.8094778,-3.3483956
Rus,38.0476731,-3.461804
Rute,37.3253037,-4.3699771
Ríogordo,36.9152823,-4.2934765
SEVILLA,37.3886303,-5.9953403
Sabariego,37.5256247,-4.0442336
Sabiote,38.0691918,-3.3068128
Salar,37.1364528,-4.0392701
Salares,36.8544153,-4.0241592
Saleres,36.9296617,-3.5965077
Salobreña,36.765067,-3.5938505
Salobreña (Granada),36.765067,-3.5938505
Salteras,37.4188774,-6.1109126
San Bartolomé de la Torre,37.4462517,-7.1068216
San Clemente,37.8921535,-2.6416406
San Enrique de Guadiaro,36.3057744,-5.2918178
San Fernando,36.4646672,-6.1983492
San Francisco,36.7290282,-4.3680447
San José,36.7618962,-2.110094
San José de La Rinconada,37.4865155,-5.9416528
San José del Valle,36.6062584,-5.7997029
San Juan de Aznalfarache,37.3599507,-6.03286
San Juan de los Terreros,37.3608107,-1.6636704
San Juan de los terreros,37.3608107,-1.6636704
San Juan del Puerto,37.3142155,-6.8407764
San Luis de Sabinillas,36.367303,-5.227807
San Nicolás del Puerto,37.9950338,-5.6527851
San Pablo,36.4679272,-5.4191583
San Pedro de Alcántara,36.4975764,-4.993087
San Roque,36.2100586,-5.3868293
San Sebastián de los Ballesteros,37.6535266,-4.8240997
Sanlúcar de Barrameda,36.7761393,-6.3534794
Sanlúcar de Guadiana,37.4726294,-7.4664775
Sanlúcar la Mayor,37.3864113,-6.2024485
Santa Ana,37.4616795,-3.8851303
Santa Ana la Real,37.8639155,-6.7244264
Santa Cruz,37.7349085,-4.6338745
Santa Elena,38.3402351,-3.5395811
Santa Eulalia,38.0645434,-3.3829522
Santa Fe,37.1895171,-3.7183561
Santa Fe de los Boliches,36.5545102,-4.6173931
Santa María de Trassierra,37.9288388,-4.9026371
Santa Olalla del Cala,37.9066642,-6.2293168
Santiago de Calatrava,37.7534531,-4.169898
Santiago de la Espada,38.1112962,-2.5513193
Santiponce,37.4355931,-6.039916
Santisteban del Puerto,38.2484355,-3.2061898
Santo Tomé,38.0273767,-3.0999333
Sayalonga,36.7982701,-4.012961
Sedella,36.8617323,-4.0336554
Segura de la Sierra,38.2988567,-2.6518766
Senés,37.2034892,-2.3444627
Serón,37.3437187,-2.5084242
Setenil de las Bodegas,36.8621836,-5.1787
Sevilla,37.3886303,-5.9953403
Sierra Nevada,37.0955278,-3.14242
Sierra de Yeguas,37.1243923,-4.8685644
Sierro,37.3214457,-2.3986429
Siles,38.3878613,-2.5826373
Sitio de Calahonda,36.489002,-4.7211222
Soportújar,36.9698243,-3.4012578
Sorbas,37.098183,-2.1239548
Sorihuela del Guadalimar,38.2404151,-3.0536118
Sorvilán,36.7888252,-3.2604843
Sotogrande,36.2820648,-5.2970604
Suspiro del Moro,37.0701847,-3.6516029
Tabernas,37.0498879,-2.3913774
Taberno,37.4683539,-2.0779837
Tahal,37.2279746,-2.2854744
Tahivilla,36.162519,-5.775651
Tajarja,37.115696,-3.8751553
Talara,36.948071,-3.5507616
Taramay,36.7501577,-3.6569973
Tarifa,36.0129082,-5.6050213
Teba,36.9834861,-4.9202568
Teja,36.8812953,-3.8071543
Tocon,37.2372602,-3.9665883
Tolox,36.6874219,-4.9050917
Tomares,37.3762863,-6.0456365
Torre de Benagalbon,36.7175157,-4.2480397
Torre de Benagalbón,36.7175157,-4.2480397
Torre de la Reina,37.5129906,-6.0258012
Torre del Mar,36.7413845,-4.0946126
Torreblascopedro,37.9978262,-3.6352997
Torrecampo,38.4744653,-4.6773881
Torredelcampo,37.7702055,-3.8972315
Torredonjimeno,37.7610096,-3.9511024
Torreguadiaro,36.2998883,-5.2709429
Torremolinos,36.6242841,-4.4995448
Torremuelle,36.5822976,-4.5670844
Torrenueva,36.7087686,-3.4805521
Torrequebrada,36.5873054,-4.5477
Torrequebradilla,37.910429,-3.6616211
Torres,37.7846518,-3.5081897
Torrox,36.7705233,-3.9530852
Torrox Costa,36.7307283,-3.9650488
Torviscón,36.8776298,-3.2990923
Torvizcon,36.8524465,-3.2754944
Totalán,36.7651731,-4.297405
Trapiche,36.8034442,-4.1234475
Trebujena,36.8693137,-6.1767017
Trevélez,37.0023983,-3.2665989
Trigueros,37.3830829,-6.834095
Turre,37.1523701,-1.8945374
Turón,36.8406863,-3.0794365
Tíjola,37.4014554,-2.4982675
Tózar,37.3696623,-3.7769012
Ubrique,36.6769347,-5.4457808
Ugíjar,36.9496795,-3.0642583
Umbrete,37.368665,-6.1573611
Utrera,37.1824646,-5.7817506
Valdelarco,37.9507831,-6.6830885
Valdepeñas de Jaén,37.5899962,-3.8153262
Valderrubio,37.2343089,-3.8238434
Valdevaqueros,36.0661685,-5.6813924
Valdés,36.7584425,-4.242567
Valencina de la Concepción,37.4175713,-6.0738363
Valenzuela,38.0600749,-3.6122179
Valle de Abdalajís,36.9311713,-4.682611
Valsequillo,38.4049294,-5.3517078
Valverde del Camino,37.5739612,-6.7543559
Vejer de la Frontera,36.251937,-5.9670492
Velez -Malaga,36.7818354,-4.0988099
Venta de Micena,37.7321189,-2.3899866
Ventas de Zafarraya,36.9572848,-4.1205346
Vera,37.2475942,-1.8681961
Vilches,38.2107652,-3.5130577
Villablanca,37.3028005,-7.3423138
Villacarrillo,38.11602,-3.083922
Villafranca de Córdoba,37.9504753,-4.5533602
Villafranco de Guadalhorce,36.701283,-4.6979098
Villaharta,38.1400552,-4.9037865
Villalba del Alcor,37.3967946,-6.475054
Villaluenga del Rosario,36.6965773,-5.3860094
Villamanrique de la Condesa,37.2465338,-6.3063633
Villamartín,36.8591822,-5.6434544
Villamena ,36.974998,-3.610597
Villanueva de Algaidas,37.1831293,-4.449969
Villanueva de Córdoba,38.3230235,-4.6279655
Villanueva de San Juan,37.0502525,-5.1752275
Villanueva de Tapia,37.1835699,-4.334301
Villanueva de la Concepción,36.9318977,-4.5304501
Villanueva de las Torres,37.5223472,-3.1234916
Villanueva del Ariscal,37.3966241,-6.1444552
Villanueva del Arzobispo,38.1685887,-3.0078293
Villanueva del Duque,38.3932039,-4.9995818
Villanueva del Rey Córdoba,38.1982093,-5.1526791
Villanueva del Rey Sevilla,37.5265702,-5.1588303
Villanueva del Rosario,36.998599,-4.3660482
Villanueva del Río y Minas,37.6505159,-5.7305428
Villanueva del Trabuco,37.0283874,-4.337989
Villar,37.6361815,-5.0593273
Villarrasa,37.3880086,-6.6054262
Villarrubia,37.8479706,-4.9137717
Villaviciosa de Córdoba,38.0756277,-5.0146332
Vista Hermosa,36.2129779,-5.3453201
Válor,37.0316387,-3.0960882
Vélez Blanco,37.6914189,-2.0956638
Vélez Rubio,37.6482765,-2.0745368
Vélez de Benaudalla,36.8263829,-3.4886425
Vélez-Málaga,36.7818354,-4.0988099
Vícar,36.8316986,-2.6430297
Víznar,37.2312071,-3.5539201
Yegen,36.9827081,-3.1187286
Yunquera,36.7346372,-4.9205956
Yátor,36.9571281,-3.1361264
Zafarraya,36.9928196,-4.1503661
Zagrilla,37.4801306,-4.235705
Zahara de la Sierra,36.8405841,-5.3905374
Zahara de los Atunes,36.1361147,-5.845594
Zahora,36.2031094,-6.0398197
Zalamea la Real,37.6793659,-6.6605705
Zamoranos,37.5260281,-4.1640626
Zufre,37.8338999,-6.3388735
Zuheros,37.543409,-4.314876
Zujaira,37.2569019,-3.8037651
Zurgena,37.3421871,-2.0393486
Zújar,37.5916353,-2.8200837
Álora,36.8238814,-4.7063011
Árchez,36.8390459,-3.9907148
Écija,37.5406007,-5.079589
Ítrabo,36.7876488,-3.6356292
Órgiva,36.8690899,-3.4072057
Úbeda,38.0111398,-3.3719098
