localizacion|url
Punta_Umbría|https://www.booking.com/searchresults.es.html?ss=Punta+Umbría%2C+España&dest_id=12834&dest_type=city&checkin=2026-09-16&checkout=2026-09-19&group_adults=2&no_rooms=1&group_children=0
Rota|https://www.booking.com/searchresults.es.html?ss=Rota%2C+España&dest_id=-399726&dest_type=city&checkin=2026-09-16&checkout=2026-09-19&group_adults=2&no_rooms=1&group_children=0
Playa_Malagueta|https://www.booking.com/searchresults.es.html?ss=Playa+de+la+Malagueta%2C+España&dest_id=54870&dest_type=landmark&checkin=2026-09-16&checkout=2026-09-19&group_adults=2&no_rooms=1&group_children=0
Playa_Marbella|https://www.booking.com/searchresults.es.html?ss=marbella%2C+España&dest_id=-391076&dest_type=city&checkin=2026-09-16&checkout=2026-09-19&group_adults=2&no_rooms=1&group_children=0
